Data ID	Sub System	Name	ADC No	Packet Type	Packet Subtype	Decode Type	Decode ID1	Decode ID2	Decode ID3	Decode ID4	Raw Format	Eng Format	Eng Eq Type	Eng K1	Eng K2	Sci Units	Sci Format	Sci Eq Type	Sci From Eng	Sci K1	Sci K2	Sci K3	Sci K4	Sci K5	Sci K6	Sci K7	Sci K8	Mux Ch	Eng Limit Type	Eng Yellow Limit	Eng Red Limit	Sci Limit Type	Sci Yellow Limit	Sci Red Limit
125	CDH	CS_EF1D_MON	2	5	0	101	125	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	125	0	0	0	0	0	0
126	CDH	CS_EF2C_MON	2	5	0	101	126	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	126	0	0	0	0	0	0
127	CDH	CS_EF2D_MON	2	5	0	101	127	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	127	0	0	0	0	0	0
128	CDH	CS_EA1_MON	2	5	0	101	128	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	128	0	0	0	0	0	0
129	CDH	CS_EA2_MON	2	5	0	101	129	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	129	0	0	0	0	0	0
130	CDH	CS_RP_MON	2	5	0	101	130	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	130	0	0	0	0	0	0
131	CDH	CS_RS_MON	2	5	0	101	131	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	131	0	0	0	0	0	0
132	CDH	CS_FIL_SEL_ST	2	5	0	101	132	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	132	0	0	0	0	0	0
133	CDH	CS_+5REF_MON	2	5	0	101	133	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	133	0	0	0	0	0	0
134	CDH	CS_+13A_MON	2	5	0	101	134	0	0	0	%d	%.4f	2	1	10	A	%.1f	1	TRUE	0	1	0	0	0	0	0	0	134	0	0	0	0	0	0
135	CDH	CS_TMP	2	5	0	101	135	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	FALSE	32768	18700	0.000925626	0.000222443	1.23E-07	0	0	0	135	0	0	0	0	0	0
136	CDH	CS_SPARE	2	5	0	101	136	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	136	0	0	0	0	0	0
201	CDH	PS_IMON	1	5	0	101	201	0	0	0	%d	%.4f	2	1	10	A	%.4f	1	TRUE	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
